tokenizer,format,distribution,dim,precision_digits,n_vectors,n_tokens_total,length_mismatch_rate,mean_abs_error,median_abs_error,mean_rel_error,median_rel_error,mean_sig_digits,perfect_recovery_rate,mean_normalized_l2,mean_cosine_sim,mean_spearman_rho,mantel_r,mantel_p
float16,native,uniform,1,,250,0,0.0,7.67343686772759e-05,5.8722088272122885e-05,0.00016510169187130026,0.00015602069470114124,3.408,0.0,0.00016510169187130026,,,,
llama3,csv,uniform,1,,250,1980,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,json,uniform,1,,250,2480,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,scientific,uniform,1,,250,1750,0.0,2.1410383038125007e-08,2.004062771288062e-08,5.9396462992917855e-08,4.0704064922251523e-08,6.968,0.0,5.9396462992917855e-08,,,,
llama3,natural_language,uniform,1,,250,3230,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,digit_by_digit,uniform,1,,250,8626,1.0,0.4960769522055709,0.4896455198530271,1.0,1.0,0.0,0.0,1.0,,,,
mistral,csv,uniform,1,,250,4813,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,json,uniform,1,,250,5063,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,scientific,uniform,1,,250,3250,0.0,2.1410383038125007e-08,2.004062771288062e-08,5.9396462992917855e-08,4.0704064922251523e-08,6.968,0.0,5.9396462992917855e-08,,,,
mistral,natural_language,uniform,1,,250,5813,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,digit_by_digit,uniform,1,,250,8876,1.0,0.4960769522055709,0.4896455198530271,1.0,1.0,0.0,0.0,1.0,,,,
gpt4o,csv,uniform,1,,250,1980,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,json,uniform,1,,250,2480,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,scientific,uniform,1,,250,1750,0.0,2.1410383038125007e-08,2.004062771288062e-08,5.9396462992917855e-08,4.0704064922251523e-08,6.968,0.0,5.9396462992917855e-08,,,,
gpt4o,natural_language,uniform,1,,250,3230,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,digit_by_digit,uniform,1,,250,8626,1.0,0.4960769522055709,0.4896455198530271,1.0,1.0,0.0,0.0,1.0,,,,
python_str,csv,uniform,1,,250,4563,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,json,uniform,1,,250,5063,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,scientific,uniform,1,,250,3000,0.0,2.1410383038125007e-08,2.004062771288062e-08,5.9396462992917855e-08,4.0704064922251523e-08,6.968,0.0,5.9396462992917855e-08,,,,
python_str,natural_language,uniform,1,,250,8063,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,digit_by_digit,uniform,1,,250,8876,1.0,0.4960769522055709,0.4896455198530271,1.0,1.0,0.0,0.0,1.0,,,,
float16,native,uniform,1,2.0,250,0,0.0,8.415039062499998e-05,5.859375000000222e-05,0.00016976526238239158,0.00016276041666670368,3.472,0.016,0.00016976526238239158,,,,
llama3,csv,uniform,1,2.0,250,750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,json,uniform,1,2.0,250,1250,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,scientific,uniform,1,2.0,250,1750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,natural_language,uniform,1,2.0,250,2000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,digit_by_digit,uniform,1,2.0,250,1450,1.0,0.49588,0.49,1.0,1.0,0.0,0.0,1.0,,,,
mistral,csv,uniform,1,2.0,250,1225,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,json,uniform,1,2.0,250,1475,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,scientific,uniform,1,2.0,250,3250,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,natural_language,uniform,1,2.0,250,2225,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,digit_by_digit,uniform,1,2.0,250,1700,1.0,0.49588,0.49,1.0,1.0,0.0,0.0,1.0,,,,
gpt4o,csv,uniform,1,2.0,250,750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,json,uniform,1,2.0,250,1250,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,scientific,uniform,1,2.0,250,1750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,natural_language,uniform,1,2.0,250,2000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,digit_by_digit,uniform,1,2.0,250,1450,1.0,0.49588,0.49,1.0,1.0,0.0,0.0,1.0,,,,
python_str,csv,uniform,1,2.0,250,975,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,json,uniform,1,2.0,250,1475,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,scientific,uniform,1,2.0,250,3000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,natural_language,uniform,1,2.0,250,4475,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,digit_by_digit,uniform,1,2.0,250,1700,1.0,0.49588,0.49,1.0,1.0,0.0,0.0,1.0,,,,
float16,native,uniform,1,4.0,250,0,0.0,7.984355468750035e-05,5.6640624999992895e-05,0.0001704358045451415,0.00016374294994578293,3.308,0.0,0.0001704358045451415,,,,
llama3,csv,uniform,1,4.0,250,974,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,json,uniform,1,4.0,250,1474,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,scientific,uniform,1,4.0,250,1750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,natural_language,uniform,1,4.0,250,2224,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,digit_by_digit,uniform,1,4.0,250,2446,1.0,0.49607799999999996,0.48965000000000003,1.0,1.0,0.0,0.0,1.0,,,,
mistral,csv,uniform,1,4.0,250,1723,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,json,uniform,1,4.0,250,1973,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,scientific,uniform,1,4.0,250,3250,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,natural_language,uniform,1,4.0,250,2723,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,digit_by_digit,uniform,1,4.0,250,2696,1.0,0.49607799999999996,0.48965000000000003,1.0,1.0,0.0,0.0,1.0,,,,
gpt4o,csv,uniform,1,4.0,250,974,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,json,uniform,1,4.0,250,1474,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,scientific,uniform,1,4.0,250,1750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,natural_language,uniform,1,4.0,250,2224,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,digit_by_digit,uniform,1,4.0,250,2446,1.0,0.49607799999999996,0.48965000000000003,1.0,1.0,0.0,0.0,1.0,,,,
python_str,csv,uniform,1,4.0,250,1473,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,json,uniform,1,4.0,250,1973,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,scientific,uniform,1,4.0,250,3000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,natural_language,uniform,1,4.0,250,4973,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,digit_by_digit,uniform,1,4.0,250,2696,1.0,0.49607799999999996,0.48965000000000003,1.0,1.0,0.0,0.0,1.0,,,,
float16,native,uniform,1,8.0,250,0,0.0,7.673460937500156e-05,5.8724062499987406e-05,0.00016510241614089023,0.00015602587420524296,3.408,0.0,0.00016510241614089023,,,,
llama3,csv,uniform,1,8.0,250,1244,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,json,uniform,1,8.0,250,1744,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,scientific,uniform,1,8.0,250,1750,0.0,2.1039999997640724e-08,1.9999999989472883e-08,5.356789661451844e-08,3.781739539157324e-08,8.88,0.224,5.356789661451844e-08,,,,
llama3,natural_language,uniform,1,8.0,250,2494,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
llama3,digit_by_digit,uniform,1,8.0,250,4414,1.0,0.49607695192000006,0.48964552,1.0,1.0,0.0,0.0,1.0,,,,
mistral,csv,uniform,1,8.0,250,2707,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,json,uniform,1,8.0,250,2957,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,scientific,uniform,1,8.0,250,3250,0.0,2.1039999997640724e-08,1.9999999989472883e-08,5.356789661451844e-08,3.781739539157324e-08,8.88,0.224,5.356789661451844e-08,,,,
mistral,natural_language,uniform,1,8.0,250,3707,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
mistral,digit_by_digit,uniform,1,8.0,250,4664,1.0,0.49607695192000006,0.48964552,1.0,1.0,0.0,0.0,1.0,,,,
gpt4o,csv,uniform,1,8.0,250,1244,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,json,uniform,1,8.0,250,1744,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,scientific,uniform,1,8.0,250,1750,0.0,2.1039999997640724e-08,1.9999999989472883e-08,5.356789661451844e-08,3.781739539157324e-08,8.88,0.224,5.356789661451844e-08,,,,
gpt4o,natural_language,uniform,1,8.0,250,2494,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
gpt4o,digit_by_digit,uniform,1,8.0,250,4414,1.0,0.49607695192000006,0.48964552,1.0,1.0,0.0,0.0,1.0,,,,
python_str,csv,uniform,1,8.0,250,2457,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,json,uniform,1,8.0,250,2957,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,scientific,uniform,1,8.0,250,3000,0.0,2.1039999997640724e-08,1.9999999989472883e-08,5.356789661451844e-08,3.781739539157324e-08,8.88,0.224,5.356789661451844e-08,,,,
python_str,natural_language,uniform,1,8.0,250,5957,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,,,,
python_str,digit_by_digit,uniform,1,8.0,250,4664,1.0,0.49607695192000006,0.48964552,1.0,1.0,0.0,0.0,1.0,,,,
