model,number_set,format,n_numbers,mantel_r_cosine,mantel_p_cosine,mantel_r_euclidean,mantel_p_euclidean,spearman_cosine,spearman_euclidean,mean_tokens
gpt2-124m,adjacent_integers_1_50,plain,50,0.7919256181901644,0.000999000999000999,0.7710837265040563,0.000999000999000999,0.8045607586418642,0.7839059474673485,3.0
gpt2-124m,adjacent_integers_1_50,scientific,50,0.31330970527144536,0.000999000999000999,0.32640820264212084,0.000999000999000999,0.36796782321039906,0.3691155986135226,6.64
gpt2-124m,nearby_floats_3.14x,plain,50,0.07642448562475414,0.03596403596403597,0.08104167967592517,0.026973026973026972,0.14273101376611266,0.13423057473272731,3.72
gpt2-124m,nearby_floats_3.14x,scientific,50,0.051207494366499434,0.13086913086913088,0.057351091074735835,0.10789210789210789,0.12002124198453419,0.1193176980258883,7.0
gpt2-124m,mixed_scale_1e-2_to_1e8,plain,50,-0.05567023805964041,0.5784215784215784,-0.055304269336218334,0.5884115884115884,0.06548174898017933,0.06459529325596469,7.3
gpt2-124m,mixed_scale_1e-2_to_1e8,scientific,50,-0.03525105922396747,0.7092907092907093,-0.04018330247251926,0.7652347652347652,-0.07660506290607597,-0.0771801053210844,7.2
gpt2-124m,same_prefix_100_149,plain,50,0.4982801513340335,0.000999000999000999,0.4922898737904623,0.000999000999000999,0.5251560808281432,0.5139037911344075,3.0
gpt2-124m,same_prefix_100_149,scientific,50,0.1439747962075383,0.02197802197802198,0.20492583775167592,0.001998001998001998,0.39714566568555787,0.3968317644971715,7.0
gpt2-124m,equidistant_pairs_varying_mag,plain,52,0.18105504891575758,0.053946053946053944,0.19552782938461893,0.04895104895104895,0.27398949839292497,0.2651349084640984,3.326923076923077
gpt2-124m,equidistant_pairs_varying_mag,scientific,52,-0.07862150014647705,0.8741258741258742,-0.0814777413449312,0.8701298701298701,-0.007663969412411657,-0.012356745418981784,6.4423076923076925
gpt2-124m,random_uniform_0_1,plain,50,-0.021792771999250563,0.6513486513486514,-0.02478385514046646,0.6763236763236763,-0.012224896483879033,-0.015329035366185625,8.98
gpt2-124m,random_uniform_0_1,scientific,50,0.09033199681860676,0.04895104895104895,0.09279485757138622,0.03996003996003996,0.1029971792958619,0.10488787358336482,7.74
gpt2-124m,random_uniform_0_1000,plain,50,-0.03450207071162331,0.7552447552447552,-0.0546130695331461,0.8461538461538461,0.0004144626855636218,-0.010451619473237908,7.8
gpt2-124m,random_uniform_0_1000,scientific,50,0.15100942098289516,0.002997002997002997,0.15028387580736358,0.002997002997002997,0.16545230163843677,0.16411660912325776,7.72
gpt2-124m,high_precision_6th_decimal,plain,50,0.4474108468281466,0.000999000999000999,0.46382926544641484,0.000999000999000999,0.45649699393255866,0.4588332541917298,6.44
gpt2-124m,high_precision_6th_decimal,scientific,50,0.49930279068064315,0.000999000999000999,0.5308490579282173,0.000999000999000999,0.6921153178239721,0.6896646265322853,7.0
gpt2-355m,adjacent_integers_1_50,plain,50,0.8021408448711282,0.000999000999000999,0.7865712980955188,0.000999000999000999,0.8210407424593591,0.81441415981844,3.0
gpt2-355m,adjacent_integers_1_50,scientific,50,0.31772595418603594,0.000999000999000999,0.3270338252281175,0.000999000999000999,0.37486809837843516,0.37277217701217613,6.64
gpt2-355m,nearby_floats_3.14x,plain,50,0.10983150715091153,0.00999000999000999,0.10004843968595507,0.012987012987012988,0.19683460976596132,0.19228420128612442,3.72
gpt2-355m,nearby_floats_3.14x,scientific,50,0.059135776206066665,0.0989010989010989,0.06577217298534632,0.07592407592407592,0.15875191409714598,0.15699140881967913,7.0
gpt2-355m,mixed_scale_1e-2_to_1e8,plain,50,-0.04898614105335774,0.5514485514485514,-0.04432311079494962,0.5484515484515484,0.07737461065564008,0.08271725003214989,7.3
gpt2-355m,mixed_scale_1e-2_to_1e8,scientific,50,-0.04320382372920225,0.7482517482517482,-0.03814018568795208,0.7752247752247752,-0.08634558554253674,-0.06873235427939528,7.2
gpt2-355m,same_prefix_100_149,plain,50,0.5568142837638281,0.000999000999000999,0.545183196621404,0.000999000999000999,0.5825534288755966,0.5701489360586884,3.0
gpt2-355m,same_prefix_100_149,scientific,50,0.14367068844541364,0.022977022977022976,0.20315469067077788,0.001998001998001998,0.4035634956934088,0.4030325252031019,7.0
gpt2-355m,equidistant_pairs_varying_mag,plain,52,0.18103280291711663,0.055944055944055944,0.20908752973344652,0.04495504495504495,0.24450087121859224,0.2701693031264103,3.326923076923077
